"ring","year","site","box","age","sex","wing","tarsus","mass","date","time","ringer","season","history","notes","catching","X"
"Z632334",2015,"DEL",6,6,"M",64,NA,11.11,159,"16:30","IBC","spring",0,NA,NA,NA
"Z081282",2016,"DEL",1,6,"F",61,NA,10.87,147,"09:30","IBC","spring",1,"DEL 4 nestling 2014, DEL1 2015",NA,NA
"Z632270",2016,"DEL",1,6,"M",65,NA,10.78,147,"09:30","IBC","spring",1,"DEL1 6M 2015",NA,NA
"Z632891",2016,"DEL",2,6,"F",62,NA,10.66,161,"11:50","JDS","spring",0,NA,NA,NA
"Z081195",2016,"DEL",2,6,"M",68,NA,11.73,161,"11:50","JDS","spring",1,NA,NA,NA
"Z632890",2016,"DEL",3,5,"F",62,NA,10.67,161,"11:50","JDS","spring",0,NA,NA,NA
"Z081102",2016,"DEL",3,6,"M",65,NA,9.72,155,"11:30","JDS","spring",1,"same box as 2014",NA,NA
"Z632885",2016,"DEL",4,6,"F",64,NA,10.33,155,"11:00","JDS","spring",0,NA,NA,NA
"Z632886",2016,"DEL",4,6,"M",67,NA,11.04,155,"11:00","JDS","spring",0,NA,NA,NA
"Z632271",2016,"DEL",5,6,"F",63,NA,10.56,153,"11:40","JDS","spring",1,NA,NA,NA
"Z632334",2016,"DEL",6,6,"M",63,NA,10,158,"14:00","IBC","spring",1,NA,NA,NA
"S922537",2017,"DEL",1,6,"F",63,NA,11.01,150,"10:00","JDS","spring",0,NA,NA,NA
"Z632270",2017,"DEL",1,6,"M",66,NA,11,146,"09:50","GD","spring",1,NA,NA,NA
"S922054",2017,"DEL",2,6,"F",63,NA,11.23,144,"09:15","GD","spring",0,"wrongly recorded as S229054",NA,NA
"Z081195",2017,"DEL",2,6,"M",68,NA,11.42,144,"09:15","JDS","spring",1,"at DEL2 since 2014",NA,NA
"S922586",2017,"DEL",3,5,"F",62,NA,10.43,154,"09:50","KM","spring",0,NA,NA,NA
"Z081102",2017,"DEL",3,6,"M",66,NA,9.67,154,"09:50","KM","spring",1,NA,NA,NA
"S922587",2017,"DEL",5,5,"F",61,NA,10.34,154,"10:34","KM","spring",0,NA,NA,NA
"Z081196",2017,"DEL",5,6,"M",66,NA,10.39,152,"09:50","KM","spring",1,NA,NA,NA
"S922604",2017,"DEL",8,6,"F",65,NA,10.74,150,"09:50","KM","spring",0,NA,NA,NA
"S922603",2017,"DEL",8,5,"M",65,NA,11.02,150,"09:50","KM","spring",0,NA,NA,NA
"Z081282",2018,"DEL",1,6,"F",62,NA,11.91,150,"10:30","DAP","spring",1,NA,NA,NA
"Z632270",2018,"DEL",1,6,"M",66,NA,11.07,150,"10:30","DAP","spring",1,NA,NA,NA
"S922054",2018,"DEL",3,6,"F",62,NA,10.94,148,"10:15","DAP","spring",1,"Think this was a misentered bird last year and was age 6 at DEL2",NA,NA
"Z081102",2018,"DEL",3,6,"M",66,NA,10.33,148,"10:15","DAP","spring",1,"This bird was an age 6 at this nest in 2014 and has bred there every year. Probably our oldest bird.",NA,NA
"AHD7029",2018,"DEL",4,6,"F",62,NA,10.91,150,"10:15","DAP","spring",0,NA,NA,NA
"AHD7030",2018,"DEL",4,5,"M",65,NA,10.19,150,"10:15","DAP","spring",0,NA,NA,NA
"AHD7028",2018,"DEL",5,6,"F",64,NA,10.26,150,"09:55","DAP","spring",0,NA,NA,NA
"Z081196",2018,"DEL",5,6,"M",66,NA,10.88,150,"09:55","DAP","spring",1,NA,NA,NA
"S922587",2018,"DEL",6,6,"F",62,NA,10.78,156,"12:20","JB","spring",1,NA,NA,NA
"S228021",2018,"DEL",6,6,"M",65,NA,11.04,156,"11:45","JB","spring",1,NA,NA,NA
"AHD7181",2018,"DEL",7,6,"F",62,NA,10.73,152,"13:11","JMS","spring",0,NA,NA,NA
"AHD7180",2018,"DEL",7,5,"M",66,NA,10.01,152,"13:06","JMS","spring",0,NA,NA,NA
"Z081282",2019,"DEL",1,6,"F",63,17.19,10.92,142,"13:00","KM","spring",1,NA,NA,NA
"Z632270",2019,"DEL",1,6,"M",67,18.83,11.71,143,"18:30","KM","spring",1,NA,NA,NA
"S922054",2019,"DEL",2,6,"F",64,20,11.01,138,"10:50","KK","spring",1,NA,NA,NA
"S921667",2019,"DEL",2,5,"M",66,21.2,10.73,138,"10:40","KK","spring",1,NA,NA,NA
"ARD7116",2019,"DEL",4,6,"F",64,17.03,9.73,144,"13:10","KM","spring",0,NA,NA,NA
"AHD7030",2019,"DEL",4,6,"M",67,17.41,10.54,145,"17:25","KM","spring",1,NA,NA,NA
"ARD7115",2019,"DEL",5,5,"F",64,18.12,11,144,"12:05","KM","spring",0,NA,NA,NA
"ARD7114",2019,"DEL",5,5,"M",65,17.7,10.64,144,"12:05","KM","spring",0,NA,NA,NA
"ARD7324",2019,"DEL",6,5,"F",61,19,10.36,148,"10:25","JC","spring",0,NA,NA,NA
"ARD7323",2019,"DEL",6,6,"M",62,17.1,10.3,148,"10:25","JC","spring",0,NA,NA,NA
"S922587",2019,"DEL",7,6,"F",63,16.75,10.76,144,"13:00","KM","spring",1,NA,NA,NA
"S228021",2019,"DEL",7,6,"M",65,18.02,11.03,144,"13:00","KM","spring",1,NA,NA,NA
"AXH9278",2020,"DEL",3,5,"F",61,NA,10.43,153,"08:19","KM","spring",0,NA,NA,NA
"AXH9277",2020,"DEL",3,5,"M",66,NA,10.68,153,"08:19","KM","spring",0,NA,NA,NA
"AXH7480",2020,"DEL",4,6,"F",62,NA,9.73,153,"08:16","ABP","spring",0,NA,"net",NA
"AHD7030",2020,"DEL",4,6,"M",66,NA,10.65,153,"08:16","ABP","spring",1,NA,"net",NA
"AXH7487",2020,"DEL",5,5,"F",62,NA,9.85,153,"08:45","ABP","spring",0,NA,NA,NA
"ARD7085",2020,"DEL",5,5,"M",63,NA,10.97,153,"08:45","ABP","spring",1,NA,NA,NA
"S922587",2020,"DEL",7,6,"F",64,NA,10.52,153,"09:04","ABP","spring",1,NA,NA,NA
"ARD7114",2020,"DEL",7,6,"M",65,NA,11.2,153,"09:04","ABP","spring",1,NA,NA,NA
"S921293",2020,"DEL",8,6,"F",63,NA,10.62,153,"09:06","KM","spring",1,NA,NA,NA
"AXH9289",2020,"DEL",8,6,"M",64,NA,10.35,153,"09:06","KM","spring",0,NA,NA,NA
"AXH9278",2021,"DEL",1,6,"F",60,NA,10.12,154,"10:47","JMS","spring",1,NA,NA,NA
"ARD7323",2021,"DEL",1,6,"M",63,NA,10.01,154,"10:45","JMS","spring",1,NA,NA,NA
"AXH7480",2021,"DEL",2,6,"F",63,NA,10.04,154,"11:46","ABP","spring",1,NA,"net",NA
"_APR7259",2021,"DEL",3,6,"F",64,NA,10.12,154,"10:45","ABP","spring",0,NA,NA,NA
"_APR7260",2021,"DEL",3,5,"M",63,NA,11,154,"10:45","ABP","spring",0,NA,NA,NA
"_APR7268",2021,"DEL",4,5,"F",63,NA,NA,154,"11:05","ABP","spring",0,NA,NA,NA
"_APR7276",2021,"DEL",4,5,"M",63,NA,10.25,154,"11:32","ABP","spring",0,NA,"net",NA
"AXH7747",2021,"DEL",5,5,"F",60,NA,10.24,154,"11:29","JMS","spring",0,NA,NA,NA
"AXH7748",2021,"DEL",5,5,"M",64,NA,10.44,154,"11:31","JMS","spring",0,NA,NA,NA
"Z081857",2014,"DLW",4,5,"F",58,NA,9.92,160,NA,"JDS","spring",0,NA,NA,NA
"Z081857",2015,"DLW",1,6,"F",63,NA,10.3,160,"18:00","ABP","spring",1,NA,NA,NA
"Z632431",2015,"DLW",1,6,"M",65,NA,11.06,160,"18:00","ABP","spring",1,"bigamist!",NA,NA
"Z632430",2015,"DLW",6,5,"F",62,NA,11.04,148,NA,"ABP","spring",0,NA,NA,NA
"Z632431",2015,"DLW",6,6,"M",65,NA,10.65,148,NA,"ABP","spring",0,NA,NA,NA
"Z081857",2016,"DLW",1,6,"F",64,NA,10.1,168,"09:40","IBC","spring",1,NA,NA,NA
"Z632875",2016,"DLW",1,5,"M",65,NA,11,169,"15:00","IBC","spring",0,NA,NA,NA
"S921628",2017,"DLW",1,6,"F",61,NA,9.8,167,"09:10","KK","spring",0,NA,NA,NA
"Z081857",2017,"DLW",3,6,"F",63,NA,10.18,163,"09:20","KM","spring",1,NA,NA,NA
"Z632875",2017,"DLW",3,6,"M",67,NA,10.78,163,"09:20","KM","spring",1,NA,NA,NA
"AHD7964",2018,"DLW",4,5,"F",64,NA,9.99,161,"09:55","KM","spring",0,NA,NA,NA
"AHD7965",2018,"DLW",4,5,"M",63,NA,10.13,161,"09:55","KM","spring",0,NA,NA,NA
"S921628",2018,"DLW",5,6,"F",62,NA,9.1,159,"08:45","JB","spring",1,"DLW1 in 2017",NA,NA
"S921628",2019,"DLW",4,6,"F",63,16.39,9.33,151,"07:00","KM","spring",1,NA,NA,NA
"AHD7895",2019,"DLW",4,5,"M",64,18.11,10.7,151,"07:00","KM","spring",1,NA,NA,NA
"AXH8205",2020,"DLW",4,5,"F",62,NA,10.38,159,"17:23","ABP","spring",0,NA,"net",NA
"Z081833",2014,"DNC",1,6,"M",63,NA,9.89,157,NA,"JDS","spring",0,NA,NA,NA
"Z632939",2015,"DNC",1,6,"M",66,NA,10.76,168,"14:00","IBC","spring",0,NA,NA,NA
"Z632804",2015,"DNC",5,5,"F",62,NA,11.21,162,"16:30","JDS","spring",0,NA,NA,NA
"Z632805",2015,"DNC",5,6,"M",64,NA,11.24,162,"16:30","JDS","spring",0,NA,NA,NA
"S921249",2017,"DNC",2,5,"F",63,NA,11.39,163,"08:50","ABP","spring",0,NA,NA,NA
"S921250",2017,"DNC",2,5,"M",63,NA,11.26,163,"08:50","ABP","spring",0,NA,NA,NA
"S921248",2017,"DNC",7,5,"F",63,NA,10.39,163,"08:30","ABP","spring",0,NA,NA,NA
"AHD7743",2018,"DNC",5,5,"F",62,NA,11.38,162,"18:25","DAP","spring",0,NA,NA,NA
"AHD7742",2018,"DNC",5,5,"M",63,NA,10.54,162,"18:25","DAP","spring",0,NA,NA,NA
"ARD7082",2019,"DNC",2,5,"F",61,16.4,10.76,158,"18:38","JMS","spring",0,NA,NA,NA
"ARD7081",2019,"DNC",2,5,"M",64,17.2,11.14,158,"18:35","JMS","spring",0,NA,NA,NA
"ARD7056",2019,"DNC",9,5,"F",63,16.69,11.57,156,"16:34","KK","spring",0,NA,NA,NA
"ARD7055",2019,"DNC",9,5,"M",63,17.39,10.9,156,"16:34","KK","spring",0,NA,NA,NA
"AXH8640",2021,"DNC",2,5,"F",63,NA,10.25,165,"16:29","EAM","spring",0,NA,NA,NA
"AXH8935",2021,"DNC",6,5,"F",60,NA,10.85,155,"16:30","EAM","spring",0,NA,NA,NA
"AXH8936",2021,"DNC",6,5,"M",64,NA,10.52,155,"16:30","EAM","spring",0,NA,NA,NA
"Z632686",2015,"DNM",4,5,"F",63,NA,10.64,160,"16:30","ABP","spring",0,NA,NA,NA
"Z632685",2015,"DNM",4,5,"M",63,NA,10.9,160,"16:30","ABP","spring",0,NA,NA,NA
"Z632995",2016,"DNM",2,6,"F",63,NA,10.65,165,"13:10","ABP","spring",0,NA,NA,NA
"Z632994",2016,"DNM",2,5,"M",64,NA,11.17,165,"13:10","ABP","spring",0,NA,NA,NA
"Z632874",2016,"DNM",6,5,"F",59,NA,9.89,169,"13:45","IBC","spring",0,NA,NA,NA
"S921221",2017,"DNM",3,5,"F",66,NA,10.69,157,"07:30","ABP","spring",0,NA,NA,NA
"Z632994",2017,"DNM",3,6,"M",65,NA,10.82,156,"15:37","ABP","spring",1,"at DNM2 in 2016",NA,NA
"S921229",2017,"DNM",7,6,"F",65,NA,10.59,158,"16:16","KM","spring",0,NA,NA,NA
"S921228",2017,"DNM",7,5,"M",62,NA,10.75,158,"16:16","KM","spring",0,NA,NA,NA
"S921829",2018,"DNM",1,5,"F",63,NA,10.8,150,"19:45","JMS","spring",0,NA,NA,NA
"AHD7252",2018,"DNM",1,6,"M",65,NA,10.8,154,"19:15","JMS","spring",0,NA,NA,NA
"AHD7961",2018,"DNM",4,6,"F",63,NA,11.33,160,"18:15","KM","spring",0,NA,NA,NA
"AHD7962",2018,"DNM",4,5,"M",66,NA,11.56,160,"18:15","KM","spring",0,NA,NA,NA
"S921229",2018,"DNM",8,6,"F",65,NA,10.63,162,"17:00","DAP","spring",1,"DNM7 in 2017, same pair",NA,NA
"S921228",2018,"DNM",8,6,"M",65,NA,NA,162,"18:00","DAP","spring",1,"DNM7 in 2017, same pair",NA,NA
"AHD7874",2019,"DNM",2,5,"F",62,17.06,11.18,152,"18:22","JC","spring",1,NA,NA,NA
"AHD7962",2019,"DNM",2,6,"M",66,18.18,11.51,152,"18:22","JC","spring",1,NA,NA,NA
"S921829",2019,"DNM",5,6,"F",64,16.65,10.27,161,"08:10","ABP","spring",1,NA,NA,NA
"S921228",2019,"DNM",5,6,"M",64,17.68,11.29,156,"15:20","KK","spring",1,NA,NA,NA
"ARD7054",2019,"DNM",6,6,"F",62,16.81,11.28,156,"15:45","KK","spring",0,NA,NA,NA
"AHD7876",2019,"DNM",6,6,"M",65,17.82,11.48,156,"15:45","KK","spring",1,NA,NA,NA
"AXH8210",2020,"DNM",2,5,"F",59,NA,9.93,160,"11:36","ABP","spring",0,NA,NA,NA
"AXH8209",2020,"DNM",2,5,"M",65,NA,10.73,160,"11:36","ABP","spring",0,NA,NA,NA
"S921829",2020,"DNM",4,6,"F",64,NA,10.53,164,"15:20","KM","spring",1,NA,NA,NA
"S921228",2020,"DNM",4,6,"M",64,NA,10.76,164,"15:20","KM","spring",1,NA,NA,NA
"ARD7096",2020,"DNM",5,5,"F",62,NA,11.18,158,"11:08","ABP","spring",1,NA,NA,NA
"AXH8247",2020,"DNM",7,5,"F",61,NA,9.77,168,"10:32","ABP","spring",0,NA,NA,NA
"AXH8244",2020,"DNM",8,5,"F",61,NA,9.83,166,"11:44","ABP","spring",0,NA,"net",NA
"ARD7095",2020,"DNM",8,5,"M",65,NA,NA,162,"10:00","KM","spring",1,NA,NA,NA
"S921228",2021,"DNM",2,6,"M",64,NA,11.02,159,"18:15","EAM","spring",1,NA,NA,NA
"AXH9912",2021,"DNM",3,5,"F",62,NA,9.83,167,"08:41","SEL","spring",0,NA,NA,NA
"S921228",2021,"DNM",3,6,"M",63,NA,11.55,169,"16:38","EAM","spring",1,NA,NA,NA
"AXH8307",2021,"DNM",5,5,"F",62,NA,10.16,171,"10:35","KM","spring",0,NA,NA,NA
"AXH8306",2021,"DNM",5,6,"M",66,NA,10.52,171,"10:35","KM","spring",0,NA,NA,NA
"AXH8547",2021,"DNM",6,5,"F",62,NA,9.85,163,"08:32","KM","spring",0,NA,NA,NA
"AXH9870",2021,"DNM",6,6,"M",65,NA,10.7,161,"18:00","SEL","spring",0,NA,NA,NA
"Z632916",2015,"DNS",1,6,"F",60,NA,11.16,162,"15:30","IBC","spring",0,NA,NA,NA
"Z632917",2015,"DNS",1,6,"M",62,NA,10.96,162,"15:30","IBC","spring",0,NA,NA,NA
"S228842",2017,"DNS",3,5,"F",63,NA,11.32,162,"17:00","ABP","spring",1,"recruit from DLW1 in 2016",NA,NA
"S228717",2017,"DNS",3,5,"M",65,NA,11.27,162,"17:00","ABP","spring",1,"recruit from DNC6 in 2016",NA,NA
"ARD7082",2020,"DNS",4,6,"F",63,NA,10.86,158,"10:00","ABP","spring",1,"inter site breeding dispersal",NA,NA
"AXH8092",2020,"DNS",4,5,"M",65,NA,10.78,158,"10:00","ABP","spring",0,NA,NA,NA
"AXH8659",2021,"DNS",1,6,"F",64,NA,9.95,169,"08:19","EAM","spring",0,NA,NA,NA
"AXH8658",2021,"DNS",1,6,"M",67,NA,10.49,169,"08:19","EAM","spring",0,NA,NA,NA
"ARD7082",2021,"DNS",4,6,"F",63,NA,10.9,171,"09:55","KM","spring",1,NA,NA,NA
"AXH8305",2021,"DNS",4,5,"M",64,NA,11.04,171,"09:55","KM","spring",0,NA,NA,NA
"Z081852",2014,"DOR",3,5,"F",63,NA,11.43,160,NA,"JDS","spring",0,"awful brood",NA,NA
"Z081859",2014,"DOR",3,6,"M",67,NA,11.44,162,NA,"JDS","spring",0,NA,NA,NA
"Z081834",2014,"DOR",5,5,"F",61,NA,10.1,158,NA,"JDS","spring",0,NA,NA,NA
"Z081836",2014,"DOR",6,6,"F",63,NA,10.2,158,NA,"JDS","spring",0,NA,NA,NA
"Z081835",2014,"DOR",6,6,"M",66,NA,10.59,158,NA,"JDS","spring",0,NA,NA,NA
"Z632807",2015,"DOR",1,6,"F",64,NA,9.89,164,"12:00","JDS","spring",0,NA,NA,NA
"Z081497",2015,"DOR",1,5,"M",66,NA,10.03,164,"12:00","JDS","spring",1,"LOOKED ENTIRELY LIKE A 6. IF WASN'T LEFT LEG RINGED I WOULD HAVE MISSED IT WAS A 5.",NA,NA
"Z081834",2015,"DOR",4,6,"F",62,NA,10.69,164,"11:30","JDS","spring",1,NA,NA,NA
"Z081835",2015,"DOR",4,6,"M",66,NA,10.72,164,"11:30","JDS","spring",1,NA,NA,NA
"Z632884",2016,"DOR",2,6,"M",66,NA,10.63,155,"09:20","JDS","spring",0,NA,NA,NA
"Z081834",2016,"DOR",5,6,"F",61,NA,10.49,159,"06:30","IBC","spring",1,NA,NA,NA
"Z632884",2017,"DOR",2,6,"M",65,NA,10.78,161,"18:50","KM","spring",1,NA,NA,NA
"S921544",2017,"DOR",3,5,"F",62,NA,10.09,158,"10:30","KK","spring",0,NA,NA,NA
"S921543",2017,"DOR",3,5,"M",64,NA,10.76,158,"10:30","TB","spring",0,NA,NA,NA
"Z081834",2017,"DOR",6,6,"F",65,NA,10.74,150,"09:10","JDS","spring",1,NA,NA,NA
"S922536",2017,"DOR",6,5,"M",65,NA,10.69,150,"09:10","JDS","spring",0,NA,NA,NA
"AHD7311",2018,"DOR",1,6,"F",63,NA,10.82,156,"18:15","JB","spring",0,"Was ADH3711, changed to ADH7311",NA,NA
"Z632884",2018,"DOR",1,6,"M",65,NA,10.62,156,"08:10","JB","spring",1,NA,NA,NA
"Z081834",2018,"DOR",4,6,"F",64,NA,10.4,172,"08:25","DAP","spring",1,NA,NA,NA
"AHD7852",2018,"DOR",4,6,"M",63,NA,10.27,172,"08:25","DAP","spring",0,NA,NA,NA
"AHD7342",2018,"DOR",6,5,"F",63,NA,10.6,158,"08:00","JB","spring",0,NA,NA,NA
"S922536",2018,"DOR",6,6,"M",65,NA,10.46,158,"08:00","JB","spring",1,NA,NA,NA
"AHD7311",2019,"DOR",1,6,"F",64,16.7,11.11,150,"06:18","JMS","spring",1,NA,NA,NA
"ARD6659",2019,"DOR",1,5,"M",64,16.6,10.54,150,"06:17","JMS","spring",0,NA,NA,NA
"AHD7342",2019,"DOR",2,6,"F",64,17,10.65,150,"06:27","JMS","spring",1,NA,NA,NA
"ARD6660",2019,"DOR",2,5,"M",65,16.6,10.28,150,"06:25","JMS","spring",0,NA,NA,NA
"ARD7321",2019,"DOR",6,5,"F",60,17.3,11.01,148,"06:55","JC","spring",0,NA,NA,NA
"AHD7311",2020,"DOR",1,6,"F",64,NA,10.79,153,"10:25","ABP","spring",1,NA,NA,NA
"AXH8009",2020,"DOR",2,5,"F",61,NA,9.6,153,"10:36","ABP","spring",0,NA,NA,NA
"ARD6660",2020,"DOR",2,6,"M",65,NA,9.94,153,"10:36","ABP","spring",1,NA,NA,NA
"AXH8025",2020,"DOR",3,6,"F",62,NA,11.09,153,"11:05","ABP","spring",0,NA,NA,NA
"AXH7111",2020,"DOR",3,6,"M",66,NA,10.19,153,"11:05","ABP","spring",1,NA,NA,NA
"AXH9310",2020,"DOR",5,5,"F",63,NA,10.77,153,"11:08","KM","spring",0,NA,NA,NA
"AXH9302",2020,"DOR",6,5,"F",63,NA,10.59,153,"10:20","KM","spring",0,NA,NA,NA
"AXH7112",2020,"DOR",6,6,"M",65,NA,10.73,153,"10:20","KM","spring",1,NA,NA,NA
"AXH8575",2021,"DOR",1,6,"F",63,NA,10,164,"13:38","KM","spring",0,NA,NA,NA
"AXH8576",2021,"DOR",1,5,"M",65,NA,10.42,164,"13:38","KM","spring",0,NA,NA,NA
"AHD7311",2021,"DOR",2,6,"F",65,NA,11.23,164,"14:08","EAM","spring",1,NA,NA,NA
"AXH8009",2021,"DOR",3,6,"F",63,NA,9.68,154,"13:23","JMS","spring",1,NA,NA,NA
"AXH9302",2021,"DOR",6,6,"F",63,NA,10.34,164,"13:50","EAM","spring",1,NA,NA,NA
"S922422",2017,"DOW",4,5,"F",63,NA,10.79,155,"10:45","ABP","spring",0,NA,NA,NA
"S922413",2017,"DOW",4,5,"M",65,NA,11.04,153,"16:10","ABP","spring",0,"caught by Jess Clark",NA,NA
"S922417",2017,"DOW",5,5,"F",61,NA,10.13,155,"10:20","ABP","spring",0,NA,NA,NA
"S922416",2017,"DOW",5,5,"M",65,NA,10.48,155,"10:20","ABP","spring",0,NA,NA,NA
"S922418",2017,"DOW",6,5,"F",63,NA,10.17,155,"10:30","ABP","spring",0,NA,NA,NA
"S922419",2017,"DOW",6,6,"M",64,NA,10.16,155,"10:30","ABP","spring",0,NA,NA,NA
"S922421",2017,"DOW",7,5,"F",62,NA,10.1,155,"10:40","ABP","spring",0,NA,NA,NA
"S922420",2017,"DOW",7,5,"M",64,NA,10.22,155,"10:40","ABP","spring",0,NA,NA,NA
"S922411",2017,"DOW",8,6,"F",62,NA,11.14,153,"16:00","ABP","spring",0,NA,NA,NA
"S922412",2017,"DOW",8,5,"M",65,NA,10.57,153,"16:00","ABP","spring",0,NA,NA,NA
"AHD7575",2018,"DOW",1,5,"F",61,NA,11.16,153,"09:30","ABP","spring",0,NA,NA,NA
"S922416",2018,"DOW",1,6,"M",65,NA,11.02,153,"09:30","ABP","spring",1,NA,NA,NA
"AHD7996",2018,"DOW",2,5,"F",62,NA,9.86,177,"16:06","ABP","spring",0,NA,NA,NA
"AHD7997",2018,"DOW",2,6,"M",66,NA,11.16,177,"16:06","ABP","spring",0,NA,NA,NA
"AHD7576",2018,"DOW",3,5,"F",62,NA,9.8,153,"10:10","ABP","spring",0,NA,NA,NA
"S922413",2018,"DOW",3,6,"M",69,NA,10.77,153,"10:10","ABP","spring",1,NA,NA,NA
"S921492",2018,"DOW",5,6,"F",65,NA,12.01,149,"14:50","JB","spring",0,NA,NA,NA
"S921492",2018,"DOW",5,6,"F",64,NA,11.81,153,"16:28","JMS","spring",1,"DOW5 in 2017",NA,NA
"S922411",2018,"DOW",6,6,"F",62,NA,10.96,153,"16:20","JMS","spring",1,NA,NA,NA
"S922412",2018,"DOW",6,6,"M",63,NA,10.5,152,"13:10","ABP","spring",1,"box 8 in 2017",NA,NA
"S922422",2018,"DOW",7,6,"F",65,NA,10.78,151,"19:34","DAP","spring",1,NA,NA,NA
"S922419",2018,"DOW",7,6,"M",64,NA,10.73,153,"16:30","JMS","spring",1,NA,NA,NA
"AHD7069",2018,"DOW",8,5,"F",62,NA,10.55,151,"18:43","DAP","spring",0,NA,NA,NA
"AHD7068",2018,"DOW",8,5,"M",65,NA,10.93,151,"18:43","DAP","spring",0,NA,NA,NA
"S922411",2019,"DOW",3,6,"F",61,17.2,12,145,"17:50","KK","spring",1,NA,NA,NA
"S922416",2019,"DOW",3,6,"M",64,17.1,11.13,145,"17:50","KK","spring",1,NA,NA,NA
"AHD7576",2019,"DOW",4,6,"F",63,16.2,NA,156,"11:40","ABP","spring",1,NA,NA,NA
"S922413",2019,"DOW",4,6,"M",63,17.66,10.68,149,"10:00","ABP","spring",1,NA,NA,NA
"ARD7668",2019,"DOW",5,5,"F",62,NA,10.11,156,"08:57","ABP","spring",0,NA,NA,NA
"AHD7857",2019,"DOW",5,6,"M",66,NA,10.42,156,"08:57","ABP","spring",1,NA,NA,NA
"ARD7699",2019,"DOW",6,5,"F",61,16.2,10.95,161,"15:55","ABP","spring",0,NA,NA,NA
"S921820",2019,"DOW",6,5,"M",65,16.9,10.69,161,"15:55","ABP","spring",1,NA,NA,NA
"S922422",2019,"DOW",7,6,"F",65,16.82,11.5,147,"11:12","ABP","spring",1,NA,NA,NA
"S922419",2019,"DOW",7,6,"M",64,17.67,9.95,147,"10:26","ABP","spring",1,NA,NA,NA
"AHD7069",2019,"DOW",8,6,"F",63,16.38,10.1,147,"10:32","ABP","spring",1,NA,NA,NA
"AHD7068",2019,"DOW",8,6,"M",67,17.23,10.35,147,"10:32","ABP","spring",1,NA,NA,NA
"AXH9164",2020,"DOW",1,5,"F",63,NA,11.27,146,"18:20","KM","spring",0,NA,NA,NA
"AXH7212",2020,"DOW",1,5,"M",66,NA,10.92,146,"18:20","KM","spring",1,NA,NA,NA
"AXH8069",2020,"DOW",2,5,"F",62,NA,9.9,156,"09:00","ABP","spring",0,NA,NA,NA
"AXH7210",2020,"DOW",2,5,"M",63,NA,11.1,156,"09:00","ABP","spring",1,NA,NA,NA
"AHD7069",2020,"DOW",3,6,"F",63,NA,10.68,150,"17:14","ABP","spring",1,NA,"net",NA
"S922413",2020,"DOW",3,6,"M",67,NA,11.11,150,"17:14","ABP","spring",1,NA,"net",NA
"AXH9491",2020,"DOW",5,5,"F",61,NA,8.75,160,"11:32","KM","spring",0,NA,NA,NA
"AXH9492",2020,"DOW",5,5,"M",62,NA,10.19,160,"11:32","KM","spring",0,NA,NA,NA
"AXH8071",2020,"DOW",6,5,"F",65,NA,11.03,156,"10:20","ABP","spring",0,NA,"net",NA
"AHD7856",2020,"DOW",6,6,"M",66,NA,10.81,154,"14:59","ABP","spring",1,NA,NA,NA
"S922422",2020,"DOW",7,6,"F",66,NA,10.81,156,"10:32","ABP","spring",1,NA,"net",NA
"S922419",2020,"DOW",7,6,"M",64,NA,10.23,156,"10:32","ABP","spring",1,NA,"net",NA
"AXH8070",2020,"DOW",8,5,"F",63,NA,11.71,156,"09:30","ABP","spring",0,NA,NA,NA
"AHD7068",2020,"DOW",8,6,"M",66,NA,10.78,156,"09:30","ABP","spring",1,NA,NA,NA
"_APR7305",2021,"DOW",1,6,"F",60,NA,10.39,159,"10:32","JMS","spring",0,NA,NA,NA
"_APR7306",2021,"DOW",1,5,"M",64,NA,10.01,159,"10:34","JMS","spring",0,NA,NA,NA
"_APR7316",2021,"DOW",3,5,"F",61,NA,11.03,161,"12:13","JMS","spring",0,NA,NA,NA
"_APR7317",2021,"DOW",3,6,"M",65,NA,10.91,161,"12:15","JMS","spring",0,NA,NA,NA
"AHD7069",2021,"DOW",4,6,"F",64,NA,10.45,165,"09:55","ABP","spring",1,NA,"net",NA
"S922413",2021,"DOW",4,6,"M",67,NA,11.14,165,"09:55","ABP","spring",1,NA,"net",NA
"AXH8069",2021,"DOW",5,6,"F",62,NA,9.94,159,"10:43","JMS","spring",1,NA,NA,NA
"AXH9492",2021,"DOW",5,6,"M",65,NA,10.31,159,"10:41","JMS","spring",1,NA,NA,NA
"AXH8071",2021,"DOW",6,6,"F",65,NA,11.28,151,"10:02","ABP","spring",1,NA,"net",NA
"AHD7856",2021,"DOW",6,6,"M",66,NA,10.85,151,"10:02","ABP","spring",1,NA,"net",NA
"S922422",2021,"DOW",7,6,"F",65,NA,10.61,169,"08:07","ABP","spring",1,NA,NA,NA
"ARD6744",2021,"DOW",7,6,"M",67,NA,9.85,169,"08:07","ABP","spring",1,NA,NA,NA
"AXH7708",2021,"DOW",8,5,"F",60,NA,10.25,153,"10:36","JMS","spring",0,NA,NA,NA
"AHD7068",2021,"DOW",8,6,"M",66,NA,10.21,153,"10:38","JMS","spring",1,NA,NA,NA
"Z632794",2015,"DUN",4,5,"F",62,NA,10.56,159,"15:00","JDS","spring",0,NA,NA,NA
"Z632795",2015,"DUN",4,6,"M",67,NA,10.66,159,"15:00","JDS","spring",0,NA,NA,NA
